Unnamed: 0,t,dist,I,coll,var
259,59.0,2293.4206162637856,100,vanilla,fixed
260,76.0,2131.799994093939,100,vanilla,fixed
261,66.0,2015.4050996776923,100,vanilla,fixed
262,46.0,2249.8025649900537,100,vanilla,fixed
263,60.0,1886.875053041488,100,vanilla,fixed
264,58.0,2177.130515147904,100,vanilla,fixed
265,66.0,1954.574942087355,100,vanilla,fixed
266,49.0,1963.950593920306,100,vanilla,fixed
267,56.0,2343.5425612721697,100,vanilla,fixed
268,62.0,1769.467438376156,100,vanilla,fixed
269,47.0,2019.6009330900715,100,vanilla,fixed
270,71.0,2437.727112401875,100,vanilla,fixed
271,95.0,1868.949643087678,100,vanilla,fixed
272,54.0,2183.131286568549,100,vanilla,fixed
273,57.0,1870.6293707487648,100,vanilla,fixed
274,68.0,2115.944358099168,100,vanilla,fixed
275,69.0,2184.439576123992,100,vanilla,fixed
276,67.0,2221.569681091508,100,vanilla,fixed
277,65.0,2562.668783239744,100,vanilla,fixed
278,60.0,1899.692949859635,100,vanilla,fixed
279,169.0,1982.2152498723312,100,vanilla,fixed
280,56.0,1829.2052989149145,100,vanilla,fixed
281,70.0,2083.7950541514674,100,vanilla,fixed
282,119.0,2266.24303852259,100,vanilla,fixed
283,35.0,2240.7064766521958,100,vanilla,fixed
284,48.0,2171.227404707538,100,vanilla,fixed
285,66.0,2008.0791475245944,100,vanilla,fixed
286,52.0,2012.6243397263024,100,vanilla,fixed
287,76.0,2320.3375356636384,100,vanilla,fixed
288,36.0,1940.236761401155,100,vanilla,fixed
289,50.0,2049.462196121122,100,vanilla,fixed
290,67.0,1829.303090616376,100,vanilla,fixed
291,56.0,2198.055620903728,100,vanilla,fixed
292,58.0,2157.007922528838,100,vanilla,fixed
293,72.0,2157.6587186068914,100,vanilla,fixed
294,60.0,2131.6187091220863,100,vanilla,fixed
295,36.0,1988.9984368961805,100,vanilla,fixed
296,63.0,1905.913729064496,100,vanilla,fixed
297,107.0,2380.6396166064555,100,vanilla,fixed
298,62.0,2077.8336064475006,100,vanilla,fixed
299,61.0,1988.0919266491403,100,vanilla,fixed
300,54.0,1871.8318692886148,100,vanilla,fixed
301,35.0,1855.934829078495,100,vanilla,fixed
302,99.0,2388.980923160153,100,vanilla,fixed
303,48.0,2337.541269772215,100,vanilla,fixed
304,51.0,1863.0634308960448,100,vanilla,fixed
305,44.0,2048.6314732108767,100,vanilla,fixed
306,29.0,2100.5904782605758,100,vanilla,fixed
307,37.0,1664.8397550008451,100,vanilla,fixed
308,65.0,2171.1700446453247,100,vanilla,fixed
309,76.0,2342.067977717981,100,vanilla,fixed
310,57.0,1705.932382671705,100,vanilla,fixed
311,73.0,2475.4113754964387,100,vanilla,fixed
312,74.0,1989.5955307618524,100,vanilla,fixed
313,69.0,2117.0412365079765,100,vanilla,fixed
314,61.0,2042.7551008513035,100,vanilla,fixed
315,41.0,1974.0938427239607,100,vanilla,fixed
316,71.0,1986.2998405383655,100,vanilla,fixed
317,55.0,1990.8108278839693,100,vanilla,fixed
318,53.0,1994.506224972933,100,vanilla,fixed
319,45.0,1942.323713263767,100,vanilla,fixed
320,50.0,1929.875147235957,100,vanilla,fixed
321,43.0,2361.929603556498,100,vanilla,fixed
322,90.0,2225.136604691936,100,vanilla,fixed
323,65.0,1898.3894579978528,100,vanilla,fixed
324,52.0,2161.7224770580438,100,vanilla,fixed
325,56.0,1823.7121545520156,100,vanilla,fixed
326,64.0,2385.581855341961,100,vanilla,fixed
327,71.0,1904.5729405087448,100,vanilla,fixed
328,60.0,2099.061271621761,100,vanilla,fixed
329,64.0,2282.7494677341224,100,vanilla,fixed
330,61.0,2231.906184800065,100,vanilla,fixed
331,66.0,2088.3080619099105,100,vanilla,fixed
332,52.0,2183.032607885428,100,vanilla,fixed
333,61.0,1804.255035543028,100,vanilla,fixed
334,69.0,1891.5451547526584,100,vanilla,fixed
335,60.0,2419.683008958448,100,vanilla,fixed
336,70.0,2339.432637164094,100,vanilla,fixed
337,70.0,2252.241447439086,100,vanilla,fixed
338,61.0,1883.646507134988,100,vanilla,fixed
339,64.0,2090.215257165472,100,vanilla,fixed
340,66.0,2205.581995777989,100,vanilla,fixed
341,64.0,1782.6737636557275,100,vanilla,fixed
342,53.0,1782.7735888613856,100,vanilla,fixed
343,57.0,1951.312007030366,100,vanilla,fixed
344,53.0,2335.8754028484755,100,vanilla,fixed
345,33.0,1999.3660745921727,100,vanilla,fixed
346,60.0,2050.5506688389664,100,vanilla,fixed
347,63.0,2192.713685139335,100,vanilla,fixed
348,62.0,2283.972551163042,100,vanilla,fixed
349,65.0,2361.9770830798007,100,vanilla,fixed
350,52.0,2117.536898394782,100,vanilla,fixed
351,57.0,2233.465434880877,100,vanilla,fixed
352,40.0,1929.8225579785392,100,vanilla,fixed
353,63.0,2388.125838511702,100,vanilla,fixed
354,65.0,2454.936448649025,100,vanilla,fixed
355,61.0,2076.347986526826,100,vanilla,fixed
356,71.0,2318.22881632026,100,vanilla,fixed
357,70.0,2557.152752159005,100,vanilla,fixed
358,60.0,1960.4950027168125,100,vanilla,fixed
359,64.0,2304.0738557376626,100,vanilla,fixed
360,70.0,2411.332812911793,100,vanilla,fixed
361,75.0,2012.7748172664535,100,vanilla,fixed
362,71.0,2174.3278820537944,100,vanilla,fixed
363,68.0,2410.2740165840914,100,vanilla,fixed
364,68.0,2302.372027123322,100,vanilla,fixed
365,54.0,2272.0923364020623,100,vanilla,fixed
366,74.0,2144.4305261704017,100,vanilla,fixed
367,58.0,2403.516849209946,100,vanilla,fixed
368,56.0,2201.5874432978303,100,vanilla,fixed
369,69.0,2290.7262808745013,100,vanilla,fixed
