,t,dist,eps,I,coll,var
43,11.0,1600.4091855576196,0.0026194347843641894,50,collapsed,free_v
44,14.0,1425.637908863203,0.0026194347843641894,50,collapsed,free_v
45,12.0,1520.554679436437,0.0026194347843641894,50,collapsed,free_v
46,13.0,1748.589442766361,0.0026194347843641894,50,collapsed,free_v
47,12.0,1759.6116694174468,0.0026194347843641894,50,collapsed,free_v
48,14.0,1585.5866183388748,0.0026194347843641894,50,collapsed,free_v
49,19.0,4341.636078927882,0.0026194347843641894,50,collapsed,free_v
50,12.0,1871.4947262676274,0.0026194347843641894,50,collapsed,free_v
51,14.0,1718.8569833606418,0.0026194347843641894,50,collapsed,free_v
52,13.0,1815.7438017397044,0.0026194347843641894,50,collapsed,free_v
53,12.0,2077.435191934649,0.0026194347843641894,50,collapsed,free_v
54,12.0,1803.97016707177,0.0026194347843641894,50,collapsed,free_v
55,18.0,1225.2657251543417,0.0026194347843641894,50,collapsed,free_v
56,15.0,1766.0582256926791,0.0026194347843641894,50,collapsed,free_v
57,13.0,1391.9845842552127,0.0026194347843641894,50,collapsed,free_v
58,13.0,2083.8182017619156,0.0026194347843641894,50,collapsed,free_v
59,13.0,1757.8542273508317,0.0026194347843641894,50,collapsed,free_v
60,12.0,2167.699750815819,0.0026194347843641894,50,collapsed,free_v
61,12.0,1906.6712911895993,0.0026194347843641894,50,collapsed,free_v
62,13.0,1668.9684364088046,0.0026194347843641894,50,collapsed,free_v
63,13.0,1605.0562200560719,0.0026194347843641894,50,collapsed,free_v
64,14.0,1669.8417278949937,0.0026194347843641894,50,collapsed,free_v
65,12.0,1709.9419134942493,0.0026194347843641894,50,collapsed,free_v
66,13.0,1702.723981069744,0.0026194347843641894,50,collapsed,free_v
67,12.0,2187.6577231492333,0.0026194347843641894,50,collapsed,free_v
68,13.0,1902.054348160048,0.0026194347843641894,50,collapsed,free_v
69,11.0,5150.602217710857,0.0026194347843641894,50,collapsed,free_v
70,12.0,1636.1969727901912,0.0026194347843641894,50,collapsed,free_v
71,10.0,1603.3542928778118,0.0026194347843641894,50,collapsed,free_v
72,12.0,2355.865646050036,0.0026194347843641894,50,collapsed,free_v
73,13.0,1589.831106247105,0.0026194347843641894,50,collapsed,free_v
74,21.0,1565.6960301793147,0.0026194347843641894,50,collapsed,free_v
75,13.0,1567.987385910916,0.0026194347843641894,50,collapsed,free_v
