,t,dist,eps,I,coll,var
28,17.0,2565.2254814248113,0.0012002897848461748,50,collapsed,free_v
29,22.0,2657.213420678474,0.0012002897848461748,50,collapsed,free_v
30,20.0,1862.9717550692744,0.0012002897848461748,50,collapsed,free_v
31,25.0,2781.0786337940276,0.0012002897848461748,50,collapsed,free_v
32,19.0,18944.89066553314,0.0012002897848461748,50,collapsed,free_v
33,30.0,2962.2832256707416,0.0012002897848461748,50,collapsed,free_v
34,23.0,2959.207481072837,0.0012002897848461748,50,collapsed,free_v
35,21.0,2800.121588455629,0.0012002897848461748,50,collapsed,free_v
36,19.0,3075.588511137947,0.0012002897848461748,50,collapsed,free_v
37,31.0,2857.73886274198,0.0012002897848461748,50,collapsed,free_v
38,31.0,3453.4938186421273,0.0012002897848461748,50,collapsed,free_v
39,40.0,2027.7057762079417,0.0012002897848461748,50,collapsed,free_v
40,23.0,603847204.2371689,0.0012002897848461748,50,collapsed,free_v
41,25.0,2734.877658662891,0.0012002897848461748,50,collapsed,free_v
42,24.0,2557.1134729685523,0.0012002897848461748,50,collapsed,free_v
43,24.0,3091.3564542787913,0.0012002897848461748,50,collapsed,free_v
44,27.0,3235.623148818602,0.0012002897848461748,50,collapsed,free_v
45,26.0,2598.070790330278,0.0012002897848461748,50,collapsed,free_v
46,26.0,2949.3230352610713,0.0012002897848461748,50,collapsed,free_v
47,30.0,2426.278960010719,0.0012002897848461748,50,collapsed,free_v
48,20.0,2944.9272266721564,0.0012002897848461748,50,collapsed,free_v
49,23.0,2279.1970664422647,0.0012002897848461748,50,collapsed,free_v
50,31.0,9831.226553281818,0.0012002897848461748,50,collapsed,free_v
51,28.0,3462.0665384180556,0.0012002897848461748,50,collapsed,free_v
52,22.0,2988.3270192464806,0.0012002897848461748,50,collapsed,free_v
53,26.0,2808.1554161818644,0.0012002897848461748,50,collapsed,free_v
54,25.0,2954.9073507879975,0.0012002897848461748,50,collapsed,free_v
55,30.0,2147.308250324871,0.0012002897848461748,50,collapsed,free_v
56,26.0,2880.2265615815313,0.0012002897848461748,50,collapsed,free_v
57,18.0,2520.584020143428,0.0012002897848461748,50,collapsed,free_v
58,32.0,2589.1043020176235,0.0012002897848461748,50,collapsed,free_v
59,21.0,2424.366834000262,0.0012002897848461748,50,collapsed,free_v
60,33.0,2819.2912255152046,0.0012002897848461748,50,collapsed,free_v
61,24.0,2465.0610700644093,0.0012002897848461748,50,collapsed,free_v
62,20.0,2927.3300830441754,0.0012002897848461748,50,collapsed,free_v
63,21.0,2561.1219101321417,0.0012002897848461748,50,collapsed,free_v
64,26.0,2598.070790330278,0.0012002897848461748,50,collapsed,free_v
65,26.0,2949.3230352610713,0.0012002897848461748,50,collapsed,free_v
66,30.0,2426.278960010719,0.0012002897848461748,50,collapsed,free_v
67,20.0,2944.9272266721564,0.0012002897848461748,50,collapsed,free_v
68,23.0,2279.1970664422647,0.0012002897848461748,50,collapsed,free_v
69,31.0,9831.226553281818,0.0012002897848461748,50,collapsed,free_v
70,28.0,3462.0665384180556,0.0012002897848461748,50,collapsed,free_v
71,22.0,2988.3270192464806,0.0012002897848461748,50,collapsed,free_v
