config,K,I1,I2,I3,N,rep,meeting_time
I_200_100_50,3,200,100,50,485,0,13
I_200_100_50,3,200,100,50,469,1,10
I_200_100_50,3,200,100,50,472,2,16
I_200_100_50,3,200,100,50,496,3,16
I_200_100_50,3,200,100,50,477,4,9
I_200_100_50,3,200,100,50,524,5,10
I_200_100_50,3,200,100,50,508,6,12
I_200_100_50,3,200,100,50,493,7,13
I_200_100_50,3,200,100,50,514,8,10
I_200_100_50,3,200,100,50,509,9,23
I_200_100_50,3,200,100,50,497,10,35
I_200_100_50,3,200,100,50,460,11,22
I_200_100_50,3,200,100,50,523,12,15
I_200_100_50,3,200,100,50,513,13,33
I_200_100_50,3,200,100,50,471,14,18
I_200_100_50,3,200,100,50,505,15,17
I_200_100_50,3,200,100,50,506,16,12
I_200_100_50,3,200,100,50,492,17,10
I_200_100_50,3,200,100,50,464,18,26
I_200_100_50,3,200,100,50,486,19,17
I_200_100_50,3,200,100,50,533,20,9
I_200_100_50,3,200,100,50,519,21,12
I_200_100_50,3,200,100,50,469,22,14
I_200_100_50,3,200,100,50,506,23,14
I_200_100_50,3,200,100,50,493,24,21
I_200_100_50,3,200,100,50,467,25,9
I_200_100_50,3,200,100,50,498,26,12
I_200_100_50,3,200,100,50,492,27,31
I_200_100_50,3,200,100,50,481,28,13
I_200_100_50,3,200,100,50,495,29,12
I_200_100_50,3,200,100,50,538,30,11
I_200_100_50,3,200,100,50,534,31,11
I_200_100_50,3,200,100,50,519,32,11
I_200_100_50,3,200,100,50,485,33,11
I_200_100_50,3,200,100,50,525,34,22
I_200_100_50,3,200,100,50,484,35,15
I_200_100_50,3,200,100,50,513,36,15
I_200_100_50,3,200,100,50,474,37,17
I_200_100_50,3,200,100,50,496,38,11
I_200_100_50,3,200,100,50,543,39,17
I_200_100_50,3,200,100,50,444,40,9
I_200_100_50,3,200,100,50,499,41,63
I_200_100_50,3,200,100,50,480,42,17
I_200_100_50,3,200,100,50,471,43,14
I_200_100_50,3,200,100,50,488,44,18
I_200_100_50,3,200,100,50,536,45,12
I_200_100_50,3,200,100,50,492,46,10
I_200_100_50,3,200,100,50,515,47,9
I_200_100_50,3,200,100,50,461,48,19
I_200_100_50,3,200,100,50,497,49,9
I_200_100_50,3,200,100,50,482,50,10
I_200_100_50,3,200,100,50,475,51,17
I_200_100_50,3,200,100,50,480,52,9
I_200_100_50,3,200,100,50,499,53,22
I_200_100_50,3,200,100,50,481,54,12
I_200_100_50,3,200,100,50,478,55,10
I_200_100_50,3,200,100,50,509,56,15
I_200_100_50,3,200,100,50,542,57,21
I_200_100_50,3,200,100,50,526,58,11
I_200_100_50,3,200,100,50,502,59,63
I_200_100_50,3,200,100,50,478,60,23
I_200_100_50,3,200,100,50,500,61,19
I_200_100_50,3,200,100,50,563,62,33
I_200_100_50,3,200,100,50,479,63,47
I_200_100_50,3,200,100,50,473,64,14
I_200_100_50,3,200,100,50,527,65,23
I_200_100_50,3,200,100,50,507,66,15
I_200_100_50,3,200,100,50,522,67,24
I_200_100_50,3,200,100,50,502,68,19
I_200_100_50,3,200,100,50,483,69,16
I_200_100_50,3,200,100,50,531,70,27
I_200_100_50,3,200,100,50,469,71,13
I_200_100_50,3,200,100,50,476,72,29
I_200_100_50,3,200,100,50,506,73,13
I_200_100_50,3,200,100,50,525,74,15
I_200_100_50,3,200,100,50,481,75,11
I_200_100_50,3,200,100,50,496,76,19
I_200_100_50,3,200,100,50,489,77,29
I_200_100_50,3,200,100,50,518,78,14
I_200_100_50,3,200,100,50,508,79,49
I_200_100_50,3,200,100,50,500,80,9
I_200_100_50,3,200,100,50,499,81,10
I_200_100_50,3,200,100,50,488,82,13
I_200_100_50,3,200,100,50,522,83,56
I_200_100_50,3,200,100,50,515,84,13
I_200_100_50,3,200,100,50,524,85,15
I_200_100_50,3,200,100,50,483,86,18
I_200_100_50,3,200,100,50,522,87,19
I_200_100_50,3,200,100,50,461,88,26
I_200_100_50,3,200,100,50,479,89,41
I_200_100_50,3,200,100,50,506,90,10
I_200_100_50,3,200,100,50,482,91,68
I_200_100_50,3,200,100,50,497,92,10
I_200_100_50,3,200,100,50,498,93,12
I_200_100_50,3,200,100,50,517,94,25
I_200_100_50,3,200,100,50,523,95,13
I_200_100_50,3,200,100,50,500,96,10
I_200_100_50,3,200,100,50,471,97,27
I_200_100_50,3,200,100,50,508,98,42
I_200_100_50,3,200,100,50,509,99,16
I_200_100_50,3,200,100,50,521,100,13
I_200_100_50,3,200,100,50,513,101,27
I_200_100_50,3,200,100,50,482,102,22
I_200_100_50,3,200,100,50,518,103,10
I_200_100_50,3,200,100,50,541,104,13
I_200_100_50,3,200,100,50,532,105,13
I_200_100_50,3,200,100,50,524,106,12
I_200_100_50,3,200,100,50,508,107,15
I_200_100_50,3,200,100,50,535,108,15
I_200_100_50,3,200,100,50,497,109,10
I_200_100_50,3,200,100,50,471,110,27
I_200_100_50,3,200,100,50,501,111,25
I_200_100_50,3,200,100,50,509,112,14
I_200_100_50,3,200,100,50,518,113,36
I_200_100_50,3,200,100,50,538,114,23
I_200_100_50,3,200,100,50,470,115,10
I_200_100_50,3,200,100,50,478,116,51
I_200_100_50,3,200,100,50,477,117,19
I_200_100_50,3,200,100,50,533,118,11
I_200_100_50,3,200,100,50,510,119,10
I_200_100_50,3,200,100,50,505,120,10
I_200_100_50,3,200,100,50,478,121,8
I_200_100_50,3,200,100,50,477,122,10
I_200_100_50,3,200,100,50,505,123,11
I_200_100_50,3,200,100,50,515,124,13
I_200_100_50,3,200,100,50,490,125,8
I_200_100_50,3,200,100,50,490,126,12
I_200_100_50,3,200,100,50,482,127,16
I_200_100_50,3,200,100,50,516,128,14
I_200_100_50,3,200,100,50,474,129,18
I_200_100_50,3,200,100,50,520,130,13
I_200_100_50,3,200,100,50,456,131,25
I_200_100_50,3,200,100,50,484,132,15
I_200_100_50,3,200,100,50,510,133,18
I_200_100_50,3,200,100,50,502,134,14
I_200_100_50,3,200,100,50,500,135,16
I_200_100_50,3,200,100,50,470,136,9
I_200_100_50,3,200,100,50,502,137,10
I_200_100_50,3,200,100,50,517,138,9
I_200_100_50,3,200,100,50,481,139,16
I_200_100_50,3,200,100,50,495,140,28
I_200_100_50,3,200,100,50,506,141,30
I_200_100_50,3,200,100,50,568,142,9
I_200_100_50,3,200,100,50,528,143,16
I_200_100_50,3,200,100,50,476,144,10
I_200_100_50,3,200,100,50,501,145,67
I_200_100_50,3,200,100,50,460,146,26
I_200_100_50,3,200,100,50,503,147,18
I_200_100_50,3,200,100,50,505,148,17
I_200_100_50,3,200,100,50,495,149,30
I_200_100_50,3,200,100,50,524,150,25
I_200_100_50,3,200,100,50,536,151,28
I_200_100_50,3,200,100,50,488,152,11
I_200_100_50,3,200,100,50,512,153,13
I_200_100_50,3,200,100,50,500,154,9
I_200_100_50,3,200,100,50,531,155,56
I_200_100_50,3,200,100,50,491,156,51
I_200_100_50,3,200,100,50,542,157,22
I_200_100_50,3,200,100,50,510,158,18
I_200_100_50,3,200,100,50,485,159,16
I_200_100_50,3,200,100,50,500,160,9
I_200_100_50,3,200,100,50,496,161,19
I_200_100_50,3,200,100,50,473,162,11
I_200_100_50,3,200,100,50,570,163,10
I_200_100_50,3,200,100,50,493,164,39
I_200_100_50,3,200,100,50,512,165,13
I_200_100_50,3,200,100,50,461,166,28
I_200_100_50,3,200,100,50,505,167,15
I_200_100_50,3,200,100,50,515,168,11
I_200_100_50,3,200,100,50,507,169,20
I_200_100_50,3,200,100,50,508,170,9
I_200_100_50,3,200,100,50,496,171,10
I_200_100_50,3,200,100,50,518,172,34
I_200_100_50,3,200,100,50,452,173,9
I_200_100_50,3,200,100,50,493,174,14
I_200_100_50,3,200,100,50,491,175,32
I_200_100_50,3,200,100,50,477,176,10
I_200_100_50,3,200,100,50,513,177,14
I_200_100_50,3,200,100,50,510,178,27
I_200_100_50,3,200,100,50,499,179,23
I_200_100_50,3,200,100,50,522,180,16
I_200_100_50,3,200,100,50,477,181,25
I_200_100_50,3,200,100,50,507,182,30
I_200_100_50,3,200,100,50,513,183,21
I_200_100_50,3,200,100,50,521,184,39
I_200_100_50,3,200,100,50,508,185,23
I_200_100_50,3,200,100,50,475,186,9
I_200_100_50,3,200,100,50,505,187,10
I_200_100_50,3,200,100,50,521,188,17
I_200_100_50,3,200,100,50,492,189,13
I_200_100_50,3,200,100,50,507,190,13
I_200_100_50,3,200,100,50,468,191,46
I_200_100_50,3,200,100,50,481,192,14
I_200_100_50,3,200,100,50,528,193,15
I_200_100_50,3,200,100,50,513,194,8
I_200_100_50,3,200,100,50,511,195,15
I_200_100_50,3,200,100,50,520,196,23
I_200_100_50,3,200,100,50,488,197,21
I_200_100_50,3,200,100,50,515,198,36
I_200_100_50,3,200,100,50,508,199,13
I_50_100_200,3,50,100,200,2006,0,7
I_50_100_200,3,50,100,200,1936,1,10
I_50_100_200,3,50,100,200,1906,2,101
I_50_100_200,3,50,100,200,2089,3,20
I_50_100_200,3,50,100,200,2002,4,12
I_50_100_200,3,50,100,200,1935,5,21
I_50_100_200,3,50,100,200,1923,6,42
I_50_100_200,3,50,100,200,1930,7,20
I_50_100_200,3,50,100,200,1997,8,60
I_50_100_200,3,50,100,200,2045,9,12
I_50_100_200,3,50,100,200,2003,10,11
I_50_100_200,3,50,100,200,1954,11,15
I_50_100_200,3,50,100,200,2028,12,50
I_50_100_200,3,50,100,200,1994,13,71
I_50_100_200,3,50,100,200,2005,14,11
I_50_100_200,3,50,100,200,1983,15,8
I_50_100_200,3,50,100,200,1955,16,28
I_50_100_200,3,50,100,200,1913,17,48
I_50_100_200,3,50,100,200,2004,18,6
I_50_100_200,3,50,100,200,2092,19,16
I_50_100_200,3,50,100,200,2001,20,21
I_50_100_200,3,50,100,200,2060,21,54
I_50_100_200,3,50,100,200,2115,22,56
I_50_100_200,3,50,100,200,1952,23,35
I_50_100_200,3,50,100,200,1922,24,16
I_50_100_200,3,50,100,200,2004,25,47
I_50_100_200,3,50,100,200,1982,26,11
I_50_100_200,3,50,100,200,1985,27,24
I_50_100_200,3,50,100,200,2040,28,93
I_50_100_200,3,50,100,200,2105,29,27
I_50_100_200,3,50,100,200,1951,30,5
I_50_100_200,3,50,100,200,2054,31,7
I_50_100_200,3,50,100,200,2131,32,46
I_50_100_200,3,50,100,200,2008,33,28
I_50_100_200,3,50,100,200,2027,34,72
I_50_100_200,3,50,100,200,1996,35,34
I_50_100_200,3,50,100,200,1977,36,27
I_50_100_200,3,50,100,200,1974,37,34
I_50_100_200,3,50,100,200,2018,38,50
I_50_100_200,3,50,100,200,1957,39,66
I_50_100_200,3,50,100,200,2059,40,12
I_50_100_200,3,50,100,200,1970,41,5
I_50_100_200,3,50,100,200,2041,42,114
I_50_100_200,3,50,100,200,2045,43,10
I_50_100_200,3,50,100,200,2067,44,6
I_50_100_200,3,50,100,200,2044,45,25
I_50_100_200,3,50,100,200,2035,46,85
I_50_100_200,3,50,100,200,2051,47,47
I_50_100_200,3,50,100,200,2013,48,19
I_50_100_200,3,50,100,200,1933,49,12
I_50_100_200,3,50,100,200,1956,50,29
I_50_100_200,3,50,100,200,2023,51,5
I_50_100_200,3,50,100,200,2000,52,43
I_50_100_200,3,50,100,200,1963,53,15
I_50_100_200,3,50,100,200,2018,54,16
I_50_100_200,3,50,100,200,1994,55,17
I_50_100_200,3,50,100,200,1975,56,12
I_50_100_200,3,50,100,200,2019,57,8
I_50_100_200,3,50,100,200,1931,58,34
I_50_100_200,3,50,100,200,2122,59,15
I_50_100_200,3,50,100,200,1966,60,27
I_50_100_200,3,50,100,200,2056,61,10
I_50_100_200,3,50,100,200,2053,62,10
I_50_100_200,3,50,100,200,1906,63,24
I_50_100_200,3,50,100,200,1979,64,51
I_50_100_200,3,50,100,200,2022,65,24
I_50_100_200,3,50,100,200,2066,66,37
I_50_100_200,3,50,100,200,1995,67,151
I_50_100_200,3,50,100,200,2036,68,34
I_50_100_200,3,50,100,200,1962,69,32
I_50_100_200,3,50,100,200,1987,70,6
I_50_100_200,3,50,100,200,2026,71,26
I_50_100_200,3,50,100,200,2031,72,5
I_50_100_200,3,50,100,200,1969,73,41
I_50_100_200,3,50,100,200,2019,74,18
I_50_100_200,3,50,100,200,1979,75,16
I_50_100_200,3,50,100,200,1988,76,12
I_50_100_200,3,50,100,200,1994,77,37
I_50_100_200,3,50,100,200,2008,78,33
I_50_100_200,3,50,100,200,2008,79,30
I_50_100_200,3,50,100,200,2039,80,6
I_50_100_200,3,50,100,200,1946,81,20
I_50_100_200,3,50,100,200,1914,82,17
I_50_100_200,3,50,100,200,1965,83,50
I_50_100_200,3,50,100,200,1983,84,12
I_50_100_200,3,50,100,200,2018,85,10
I_50_100_200,3,50,100,200,1997,86,60
I_50_100_200,3,50,100,200,2039,87,27
I_50_100_200,3,50,100,200,1988,88,17
I_50_100_200,3,50,100,200,2018,89,55
I_50_100_200,3,50,100,200,1982,90,15
I_50_100_200,3,50,100,200,2029,91,40
I_50_100_200,3,50,100,200,2004,92,14
I_50_100_200,3,50,100,200,1987,93,73
I_50_100_200,3,50,100,200,2020,94,8
I_50_100_200,3,50,100,200,1964,95,130
I_50_100_200,3,50,100,200,1984,96,31
I_50_100_200,3,50,100,200,2039,97,20
I_50_100_200,3,50,100,200,2056,98,37
I_50_100_200,3,50,100,200,1962,99,13
I_50_100_200,3,50,100,200,2041,100,14
I_50_100_200,3,50,100,200,1952,101,149
I_50_100_200,3,50,100,200,1994,102,5
I_50_100_200,3,50,100,200,2021,103,36
I_50_100_200,3,50,100,200,2007,104,33
I_50_100_200,3,50,100,200,1967,105,81
I_50_100_200,3,50,100,200,2011,106,12
I_50_100_200,3,50,100,200,2034,107,18
I_50_100_200,3,50,100,200,2002,108,29
I_50_100_200,3,50,100,200,2031,109,43
I_50_100_200,3,50,100,200,2005,110,16
I_50_100_200,3,50,100,200,1974,111,48
I_50_100_200,3,50,100,200,1955,112,56
I_50_100_200,3,50,100,200,2066,113,22
I_50_100_200,3,50,100,200,2016,114,18
I_50_100_200,3,50,100,200,1964,115,23
I_50_100_200,3,50,100,200,1993,116,21
I_50_100_200,3,50,100,200,2008,117,8
I_50_100_200,3,50,100,200,1892,118,33
I_50_100_200,3,50,100,200,1985,119,8
I_50_100_200,3,50,100,200,2043,120,10
I_50_100_200,3,50,100,200,1887,121,30
I_50_100_200,3,50,100,200,2061,122,74
I_50_100_200,3,50,100,200,2007,123,5
I_50_100_200,3,50,100,200,2029,124,32
I_50_100_200,3,50,100,200,2041,125,6
I_50_100_200,3,50,100,200,2056,126,66
I_50_100_200,3,50,100,200,2001,127,324
I_50_100_200,3,50,100,200,2069,128,37
I_50_100_200,3,50,100,200,2042,129,7
I_50_100_200,3,50,100,200,2025,130,54
I_50_100_200,3,50,100,200,1964,131,31
I_50_100_200,3,50,100,200,2064,132,61
I_50_100_200,3,50,100,200,2029,133,39
I_50_100_200,3,50,100,200,2088,134,10
I_50_100_200,3,50,100,200,2046,135,10
I_50_100_200,3,50,100,200,1992,136,16
I_50_100_200,3,50,100,200,1996,137,13
I_50_100_200,3,50,100,200,2011,138,19
I_50_100_200,3,50,100,200,1994,139,36
I_50_100_200,3,50,100,200,2048,140,11
I_50_100_200,3,50,100,200,1992,141,35
I_50_100_200,3,50,100,200,1963,142,75
I_50_100_200,3,50,100,200,2056,143,18
I_50_100_200,3,50,100,200,2061,144,105
I_50_100_200,3,50,100,200,2011,145,33
I_50_100_200,3,50,100,200,1905,146,59
I_50_100_200,3,50,100,200,1924,147,14
I_50_100_200,3,50,100,200,2015,148,23
I_50_100_200,3,50,100,200,1971,149,17
I_50_100_200,3,50,100,200,1924,150,13
I_50_100_200,3,50,100,200,1979,151,6
I_50_100_200,3,50,100,200,1957,152,52
I_50_100_200,3,50,100,200,1990,153,241
I_50_100_200,3,50,100,200,1915,154,14
I_50_100_200,3,50,100,200,1989,155,16
I_50_100_200,3,50,100,200,1945,156,34
I_50_100_200,3,50,100,200,2058,157,18
I_50_100_200,3,50,100,200,2002,158,27
I_50_100_200,3,50,100,200,1967,159,17
I_50_100_200,3,50,100,200,1974,160,29
I_50_100_200,3,50,100,200,2030,161,16
I_50_100_200,3,50,100,200,1962,162,6
I_50_100_200,3,50,100,200,2002,163,6
I_50_100_200,3,50,100,200,1977,164,10
I_50_100_200,3,50,100,200,2017,165,40
I_50_100_200,3,50,100,200,2061,166,95
I_50_100_200,3,50,100,200,1977,167,37
I_50_100_200,3,50,100,200,1889,168,13
I_50_100_200,3,50,100,200,1962,169,149
I_50_100_200,3,50,100,200,2019,170,60
I_50_100_200,3,50,100,200,2026,171,22
I_50_100_200,3,50,100,200,2072,172,44
I_50_100_200,3,50,100,200,1990,173,14
I_50_100_200,3,50,100,200,2027,174,45
I_50_100_200,3,50,100,200,2006,175,41
I_50_100_200,3,50,100,200,1975,176,25
I_50_100_200,3,50,100,200,2044,177,8
I_50_100_200,3,50,100,200,1997,178,50
I_50_100_200,3,50,100,200,2065,179,70
I_50_100_200,3,50,100,200,1983,180,12
I_50_100_200,3,50,100,200,1989,181,20
I_50_100_200,3,50,100,200,2013,182,14
I_50_100_200,3,50,100,200,2010,183,34
I_50_100_200,3,50,100,200,1943,184,46
I_50_100_200,3,50,100,200,2045,185,8
I_50_100_200,3,50,100,200,1999,186,12
I_50_100_200,3,50,100,200,1991,187,7
I_50_100_200,3,50,100,200,1978,188,11
I_50_100_200,3,50,100,200,2004,189,23
I_50_100_200,3,50,100,200,2004,190,225
I_50_100_200,3,50,100,200,1935,191,6
I_50_100_200,3,50,100,200,2018,192,10
I_50_100_200,3,50,100,200,2059,193,13
I_50_100_200,3,50,100,200,1954,194,98
I_50_100_200,3,50,100,200,1993,195,7
I_50_100_200,3,50,100,200,1984,196,55
I_50_100_200,3,50,100,200,1939,197,15
I_50_100_200,3,50,100,200,2008,198,6
I_50_100_200,3,50,100,200,1933,199,14
I_300_100_30,3,300,100,30,281,0,12
I_300_100_30,3,300,100,30,323,1,12
I_300_100_30,3,300,100,30,292,2,13
I_300_100_30,3,300,100,30,314,3,11
I_300_100_30,3,300,100,30,307,4,13
I_300_100_30,3,300,100,30,286,5,10
I_300_100_30,3,300,100,30,290,6,11
I_300_100_30,3,300,100,30,303,7,11
I_300_100_30,3,300,100,30,312,8,22
I_300_100_30,3,300,100,30,296,9,16
I_300_100_30,3,300,100,30,308,10,11
I_300_100_30,3,300,100,30,296,11,9
I_300_100_30,3,300,100,30,310,12,21
I_300_100_30,3,300,100,30,253,13,27
I_300_100_30,3,300,100,30,294,14,11
I_300_100_30,3,300,100,30,287,15,13
I_300_100_30,3,300,100,30,325,16,17
I_300_100_30,3,300,100,30,294,17,18
